initial time: 0.0
initial time: 0.0009918212890625
initial time: 0.0010025501251220703
FLOODING: round:4, frame:2, iter:8, this-value:-46.25676931086006, time-cost:0.012002229690551758, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:2, iter:9, this-value:-77.40605780815898, time-cost:0.011994600296020508, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:3, iter:1, this-value:-72.12067105808825, time-cost:0.010029792785644531, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:3, iter:3, this-value:-80.14818666328318, time-cost:0.011999130249023438, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:3, iter:4, this-value:-70.4442040362492, time-cost:0.010000228881835938, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:3, iter:5, this-value:-46.25676931086006, time-cost:0.009001970291137695, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:3, iter:6, this-value:-77.95138572930153, time-cost:0.01100015640258789, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:3, iter:7, this-value:-46.25676931086006, time-cost:0.010000228881835938, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:3, iter:8, this-value:-46.25676931086006, time-cost:0.010000467300415039, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:3, iter:9, this-value:-77.40605780815898, time-cost:0.0110015869140625, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:5, frame:1, iter:1, this-value:-106.01208841051138, time-cost:0.011000633239746094, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:5, frame:1, iter:4, this-value:-104.33562138867237, time-cost:0.009999275207519531, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:5, frame:1, iter:5, this-value:-80.1481866632832, time-cost:0.010970115661621094, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:5, frame:1, iter:6, this-value:-80.1481866632832, time-cost:0.010000467300415039, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:5, frame:1, iter:7, this-value:-80.1481866632832, time-cost:0.011032342910766602, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:5, frame:1, iter:8, this-value:-80.1481866632832, time-cost:0.009999990463256836, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:5, frame:1, iter:9, this-value:-80.1481866632832, time-cost:0.012965679168701172, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:5, frame:2, iter:1, this-value:-72.12067105808825, time-cost:0.011031627655029297, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-72.12067105808825
FLOODING: round:5, frame:2, iter:3, this-value:-80.14818666328318, time-cost:0.01000070571899414, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
FLOODING: round:5, frame:2, iter:4, this-value:-70.4442040362492, time-cost:0.008997917175292969, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
FLOODING: round:5, frame:2, iter:5, this-value:-46.25676931086006, time-cost:0.01003575325012207, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
FLOODING: round:5, frame:2, iter:6, this-value:-77.95138572930153, time-cost:0.00901031494140625, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
FLOODING: round:5, frame:2, iter:7, this-value:-46.25676931086006, time-cost:0.009999275207519531, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
FLOODING: round:5, frame:2, iter:8, this-value:-46.25676931086006, time-cost:0.011001348495483398, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
FLOODING: round:5, frame:2, iter:9, this-value:-77.40605780815898, time-cost:0.01100015640258789, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
FLOODING: round:5, frame:3, iter:1, this-value:-72.12067105808825, time-cost:0.009999752044677734, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
FLOODING: round:5, frame:3, iter:3, this-value:-80.14818666328318, time-cost:0.011002302169799805, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
FLOODING: round:5, frame:3, iter:4, this-value:-70.4442040362492, time-cost:0.009970664978027344, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
FLOODING: round:5, frame:3, iter:5, this-value:-46.25676931086006, time-cost:0.011026859283447266, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
FLOODING: round:5, frame:3, iter:6, this-value:-77.95138572930153, time-cost:0.011000871658325195, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
FLOODING: round:5, frame:3, iter:7, this-value:-46.25676931086006, time-cost:0.008998632431030273, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
FLOODING: round:5, frame:3, iter:8, this-value:-46.25676931086006, time-cost:0.011967658996582031, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
