initial time: 0.009999752044677734
round:7, iter:7, this-value:-2025.6821315331736, time-cost:0.015004158020019531, round-best-server:7, round-best-value:-2025.6821315331736
round:7, iter:11, this-value:-2025.6821315331733, time-cost:0.015028953552246094, round-best-server:7, round-best-value:-2025.6821315331736
round:7, iter:13, this-value:-2025.6821315331736, time-cost:0.014969348907470703, round-best-server:7, round-best-value:-2025.6821315331736
round:7, iter:14, this-value:-2025.682131533173, time-cost:0.014998912811279297, round-best-server:7, round-best-value:-2025.6821315331736
round:7, iter:15, this-value:-2025.6821315331733, time-cost:0.015000343322753906, round-best-server:7, round-best-value:-2025.6821315331736
round:7, iter:16, this-value:-2025.6821315331733, time-cost:0.015000104904174805, round-best-server:7, round-best-value:-2025.6821315331736
round:7, iter:17, this-value:-2025.6821315331736, time-cost:0.017000198364257812, round-best-server:7, round-best-value:-2025.6821315331736
round:7, iter:18, this-value:-2025.6821315331736, time-cost:0.01503133773803711, round-best-server:7, round-best-value:-2025.6821315331736
round:7, iter:19, this-value:-2025.682131533173, time-cost:0.01600193977355957, round-best-server:7, round-best-value:-2025.6821315331736
round:7, iter:20, this-value:-2025.6821315331733, time-cost:0.01399087905883789, round-best-server:7, round-best-value:-2025.6821315331736
round:7, iter:21, this-value:-2025.6821315331736, time-cost:0.014998435974121094, round-best-server:7, round-best-value:-2025.6821315331736
round:7, iter:22, this-value:-2025.6821315331736, time-cost:0.014998912811279297, round-best-server:7, round-best-value:-2025.6821315331736
round:7, iter:23, this-value:-2025.6821315331736, time-cost:0.017031431198120117, round-best-server:7, round-best-value:-2025.6821315331736
round:7, iter:24, this-value:-2025.682131533173, time-cost:0.016974687576293945, round-best-server:7, round-best-value:-2025.6821315331736
round:7, iter:25, this-value:-2025.6821315331733, time-cost:0.01799631118774414, round-best-server:7, round-best-value:-2025.6821315331736
final-object-value:-2025.6821315331736, final-best-servers:[0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]COLORING: round:1, iter:1, this-value:-54959.51428824435, time-cost:4.378386735916138, round-best-service:1, round-best-value:-54959.51428824435
COLORING: round:1, iter:2, this-value:0.0, time-cost:3.9547295570373535, round-best-service:1, round-best-value:-54959.51428824435
COLORING: round:1, iter:3, this-value:-20364.835038298832, time-cost:4.075701713562012, round-best-service:1, round-best-value:-54959.51428824435
COLORING: round:1, iter:4, this-value:-19253.48865359781, time-cost:4.110166788101196, round-best-service:1, round-best-value:-54959.51428824435
COLORING: round:1, iter:5, this-value:-38559.99938577806, time-cost:4.043077707290649, round-best-service:1, round-best-value:-54959.51428824435
COLORING: round:2, iter:1, this-value:-199242.0862670905, time-cost:3.9621825218200684, round-best-service:1, round-best-value:-199242.0862670905
COLORING: round:2, iter:2, this-value:-263581.22517801874, time-cost:4.1549155712127686, round-best-service:2, round-best-value:-263581.22517801874
COLORING: round:2, iter:3, this-value:-165384.55808860043, time-cost:4.0198469161987305, round-best-service:2, round-best-value:-263581.22517801874
COLORING: round:2, iter:4, this-value:-164296.89251828927, time-cost:4.079852819442749, round-best-service:2, round-best-value:-263581.22517801874
COLORING: round:2, iter:5, this-value:-183192.0158527275, time-cost:4.044933319091797, round-best-service:2, round-best-value:-263581.22517801874
COLORING: round:3, iter:1, this-value:-214221.6924309425, time-cost:3.9677491188049316, round-best-service:1, round-best-value:-214221.6924309425
COLORING: round:3, iter:2, this-value:-272119.27835275827, time-cost:4.12653660774231, round-best-service:2, round-best-value:-272119.27835275827
COLORING: round:3, iter:3, this-value:-183753.93703359333, time-cost:4.123589992523193, round-best-service:2, round-best-value:-272119.27835275827
COLORING: round:3, iter:4, this-value:-182775.1671607417, time-cost:4.387726068496704, round-best-service:2, round-best-value:-272119.27835275827
COLORING: round:3, iter:5, this-value:-199778.53471083185, time-cost:4.0429298877716064, round-best-service:2, round-best-value:-272119.27835275827
COLORING: round:4, iter:1, this-value:-258166.92069116715, time-cost:4.13496994972229, round-best-service:1, round-best-value:-258166.92069116715
COLORING: round:4, iter:2, this-value:-322506.05960209435, time-cost:4.090290546417236, round-best-service:2, round-best-value:-322506.05960209435
COLORING: round:4, iter:3, this-value:-224309.39251267893, time-cost:3.967865228652954, round-best-service:2, round-best-value:-322506.05960209435
COLORING: round:4, iter:4, this-value:-223221.72694236776, time-cost:4.28196382522583, round-best-service:2, round-best-value:-322506.05960209435
COLORING: round:4, iter:5, this-value:-242116.8502768077, time-cost:4.013409376144409, round-best-service:2, round-best-value:-322506.05960209435
COLORING: round:5, iter:1, this-value:-278531.7557294617, time-cost:3.7926666736602783, round-best-service:1, round-best-value:-278531.7557294617
COLORING: round:5, iter:2, this-value:-342870.89464039303, time-cost:4.147275447845459, round-best-service:2, round-best-value:-342870.89464039303
COLORING: round:5, iter:3, this-value:-244674.22755097577, time-cost:3.742860794067383, round-best-service:2, round-best-value:-342870.89464039303
COLORING: round:5, iter:4, this-value:-243586.5619806646, time-cost:4.021891355514526, round-best-service:2, round-best-value:-342870.89464039303
COLORING: round:5, iter:5, this-value:-262481.6853151066, time-cost:3.721623182296753, round-best-service:2, round-best-value:-342870.89464039303
COLORING: round:6, iter:1, this-value:-245108.16595693748, time-cost:4.12025785446167, round-best-service:1, round-best-value:-245108.16595693748
COLORING: round:6, iter:2, this-value:-245108.16595693748, time-cost:4.113733530044556, round-best-service:1, round-best-value:-245108.16595693748
COLORING: round:6, iter:3, this-value:-245108.16595693748, time-cost:3.7387073040008545, round-best-service:1, round-best-value:-245108.16595693748
COLORING: round:6, iter:4, this-value:-245108.16595693748, time-cost:3.8760323524475098, round-best-service:1, round-best-value:-245108.16595693748
COLORING: round:6, iter:5, this-value:-245108.16595693748, time-cost:3.914638042449951, round-best-service:1, round-best-value:-245108.16595693748
COLORING: round:7, iter:1, this-value:-298896.5907677583, time-cost:3.9174234867095947, round-best-service:1, round-best-value:-298896.5907677583
COLORING: round:7, iter:2, this-value:-363235.72967869183, time-cost:4.204877853393555, round-best-service:2, round-best-value:-363235.72967869183
COLORING: round:7, iter:3, this-value:-265039.0625892735, time-cost:3.855039596557617, round-best-service:2, round-best-value:-363235.72967869183
COLORING: round:7, iter:4, this-value:-263951.39701896254, time-cost:3.847179412841797, round-best-service:2, round-best-value:-363235.72967869183
COLORING: round:7, iter:5, this-value:-282846.52035340155, time-cost:3.7860124111175537, round-best-service:2, round-best-value:-363235.72967869183
COLORING: round:8, iter:1, this-value:-275154.0541200159, time-cost:4.020678520202637, round-best-service:1, round-best-value:-275154.0541200159
COLORING: round:8, iter:2, this-value:-245108.16595693748, time-cost:3.9817070960998535, round-best-service:1, round-best-value:-275154.0541200159
COLORING: round:8, iter:3, this-value:-245108.16595693748, time-cost:3.678661346435547, round-best-service:1, round-best-value:-275154.0541200159
COLORING: round:8, iter:4, this-value:-245108.16595693748, time-cost:3.8115124702453613, round-best-service:1, round-best-value:-275154.0541200159
COLORING: round:8, iter:5, this-value:-258754.53921754926, time-cost:3.766798496246338, round-best-service:1, round-best-value:-275154.0541200159
COLORING: round:9, iter:1, this-value:-438965.02334958286, time-cost:3.8082821369171143, round-best-service:1, round-best-value:-438965.02334958286
COLORING: round:9, iter:2, this-value:-496862.609271401, time-cost:3.8055293560028076, round-best-service:2, round-best-value:-496862.609271401
COLORING: round:9, iter:3, this-value:-408497.2679522324, time-cost:3.8892672061920166, round-best-service:2, round-best-value:-496862.609271401
COLORING: round:9, iter:4, this-value:-407518.49807937926, time-cost:3.8633463382720947, round-best-service:2, round-best-value:-496862.609271401
COLORING: round:9, iter:5, this-value:-424521.8656294705, time-cost:3.8680942058563232, round-best-service:2, round-best-value:-496862.609271401
COLORING: round:10, iter:1, this-value:-451437.59801939747, time-cost:3.6911683082580566, round-best-service:1, round-best-value:-451437.59801939747
COLORING: round:10, iter:2, this-value:-502490.09610872384, time-cost:3.849764823913574, round-best-service:2, round-best-value:-502490.09610872384
COLORING: round:10, iter:3, this-value:-424571.96969580033, time-cost:3.799851655960083, round-best-service:2, round-best-value:-502490.09610872384
COLORING: round:10, iter:4, this-value:-423708.9173548792, time-cost:3.7964508533477783, round-best-service:2, round-best-value:-502490.09610872384
COLORING: round:10, iter:5, this-value:-438702.01897633926, time-cost:3.8430960178375244, round-best-service:2, round-best-value:-502490.09610872384
COLORING: round:11, iter:1, this-value:-451437.5980193973, time-cost:3.8210394382476807, round-best-service:1, round-best-value:-451437.5980193973
COLORING: round:11, iter:2, this-value:-502490.0961087239, time-cost:3.85158371925354, round-best-service:2, round-best-value:-502490.0961087239
COLORING: round:11, iter:3, this-value:-424571.9696958002, time-cost:3.7801382541656494, round-best-service:2, round-best-value:-502490.0961087239
COLORING: round:11, iter:4, this-value:-423708.9173548792, time-cost:3.803535223007202, round-best-service:2, round-best-value:-502490.0961087239
COLORING: round:11, iter:5, this-value:-438702.018976339, time-cost:3.83703351020813, round-best-service:2, round-best-value:-502490.0961087239
COLORING: round:12, iter:1, this-value:-474988.1327933447, time-cost:3.929957389831543, round-best-service:1, round-best-value:-474988.1327933447
COLORING: round:12, iter:2, this-value:-554210.6532169525, time-cost:4.019389390945435, round-best-service:2, round-best-value:-554210.6532169525
COLORING: round:12, iter:3, this-value:-433298.4433909582, time-cost:3.850585699081421, round-best-service:2, round-best-value:-554210.6532169525
COLORING: round:12, iter:4, this-value:-431959.1713814662, time-cost:4.216032266616821, round-best-service:2, round-best-value:-554210.6532169525
COLORING: round:12, iter:5, this-value:-408756.9917606852, time-cost:4.0500102043151855, round-best-service:2, round-best-value:-554210.6532169525
COLORING: round:13, iter:1, this-value:-491387.6476958103, time-cost:3.954045534133911, round-best-service:1, round-best-value:-491387.6476958103
COLORING: round:13, iter:2, this-value:-570610.1681194126, time-cost:4.072132349014282, round-best-service:2, round-best-value:-570610.1681194126
COLORING: round:13, iter:3, this-value:-449697.9582934306, time-cost:4.148102760314941, round-best-service:2, round-best-value:-570610.1681194126
COLORING: round:13, iter:4, this-value:-448358.68628393963, time-cost:4.375536203384399, round-best-service:2, round-best-value:-570610.1681194126
COLORING: round:13, iter:5, this-value:-425156.5066631509, time-cost:3.88887095451355, round-best-service:2, round-best-value:-570610.1681194126
COLORING: round:14, iter:1, this-value:-502431.792171811, time-cost:3.7239596843719482, round-best-service:1, round-best-value:-502431.792171811
COLORING: round:14, iter:2, this-value:-553484.2902611312, time-cost:3.7941441535949707, round-best-service:2, round-best-value:-553484.2902611312
COLORING: round:14, iter:3, this-value:-475566.1638482145, time-cost:4.000497817993164, round-best-service:2, round-best-value:-553484.2902611312
COLORING: round:14, iter:4, this-value:-474703.111507294, time-cost:4.090576410293579, round-best-service:2, round-best-value:-553484.2902611312
COLORING: round:14, iter:5, this-value:-489696.2131287512, time-cost:3.9759955406188965, round-best-service:2, round-best-value:-553484.2902611312
COLORING: round:15, iter:1, this-value:-459751.18591310154, time-cost:4.095757246017456, round-best-service:1, round-best-value:-459751.18591310154
COLORING: round:15, iter:2, this-value:-459751.18591310154, time-cost:3.8756542205810547, round-best-service:1, round-best-value:-459751.18591310154
